10000000	MARKDEF1100	Bundesbank
10010010	PBNKDEFFXXX	Postbank Ndl der Deutsche Bank
10010123	QNTODEB2XXX	OLINDA Zweigniederlassung Deutschland
10010178	REVODEB2XXX	Revolut Bank, Zweigniederlassung Deutschland
10010200	TRZODEB2XXX	Treezor, Berlin
10010300	KLRNDEBEXXX	Klarna Bank German Branch
10010424	AARBDE5W100	Aareal Bank
10010500	AFOPDEB2XXX	Noelse Pay
10010700	FPEGDEB2XXX	Financiere des Paiements Electroniques NL Deutschland
10011001	NTSBDEB1XXX	N26 Bank
10012345	TRBKDEBBXXX	Trade Republic Bank
10014000	SWNBDEBBXXX	Swan Zweigniederlassung Deutschland
10014001	SWNBDEBBXXX	Swan Zweigniederlassung Deutschland (Geschäftsfeld)
10017997	HOLVDEB1XXX	Holvi Payment Services Zweigniederlassung Deutschland
10018000	FNOMDEB2XXX	Finom Payments Zweigniederlassung Deutschland
10019000	ADYBDEB2XXX	Adyen, German Branch
10020200	BHFBDEFF100	BHF-BANK
10020500	BFSWDE33BER	SozialBank
10020510	BFSWDE33BER	SozialBank
10020520	BFSWDE33BER	SozialBank
10020890	HYVEDEMM488	UniCredit Bank - HypoVereinsbank
10030400	ABKBDEB1XXX	ABK Allgemeine Beamten Bank
10030500	LOEBDEBBXXX	M.M. Warburg & Co (vormals Bankhaus Löbbecke)
10033300	SCFBDE33XXX	Openbank Deutschland
10040000	COBADEBBXXX	Commerzbank, Filiale Berlin 1
10040005	COBADEBBXXX	Commerzbank, Filiale Berlin 3
10040010	COBADEFFXXX	Commerzbank, CC SP
10040048	COBADEFFXXX	Commerzbank GF-B48
10040060	COBADEFFXXX	Commerzbank Gf 160
10040061	COBADEFFXXX	Commerzbank Gf 161
10040062	COBADEFFXXX	Commerzbank CC
10040063	COBADEFFXXX	Commerzbank CC
10040085	COBADEFFXXX	Commerzbank, Gf Web-K
10045050	COBADEFFXXX	Commerzbank Service-BZ
10050000	BELADEBEXXX	BSK 1818 - Berliner Sparkasse
10050020	SKPADEB1XXX	S-Kreditpartner, Berlin
10050500	LBSODEB1BLN	LBS Landesbausparkasse NordOst
10050999	DGZFDEFFBER	DekaBank
10060198	GENODED1PA6	Pax-Bank
10061006	GENODED1KDB	Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ
10070000	DEUTDEBBXXX	Deutsche Bank
10070024	DEUTDEDBBER	Deutsche Bank
10070100	DEUTDEBB101	Deutsche Bank
10070124	DEUTDEDB101	Deutsche Bank
10070324	DEUTDEDBP30	Postbank/DSL Ndl der Deutsche Bank
10070397	DEUTDEBBP30	Postbank/DSL Ndl der Deutsche Bank
10070398	DEUTDEBBP31	Postbank/DSL Ndl der Deutsche Bank
10070399	DEUTDEBBP32	Postbank/DSL Ndl der Deutsche Bank
10070848	DEUTDEDB110	Deutsche Bank
10071324	DEUTDEDBP31	Postbank/DSL Ndl der Deutsche Bank
10072324	DEUTDEDBP32	Postbank/DSL Ndl der Deutsche Bank
10077777	NORSDE51XXX	norisbank
10080000	DRESDEFF100	Commerzbank vormals Dresdner Bank Filiale Berlin I
10080005	DRESDEFFI26	Commerzbank vormals Dresdner Bank Zw A
10080006	DRESDEFFXXX	Commerzbank vormals Dresdner Bank Zw B
10080055	DRESDEFF112	Commerzbank vormals Dresdner Bank Zw 55
10080057	DRESDEFF114	Commerzbank vormals Dresdner Bank Gf ZW 57
10080085	DRESDEFFI53	Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3
10080086	DRESDEFFI71	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4
10080087	DRESDEFFI72	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5
10080088	DRESDEFFXXX	Commerzbank vormals Dresdner Bank IBLZ
10080089	DRESDEFFI73	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6
10080900	DRESDEFF199	Commerzbank vormals Dresdner Bank Filiale Berlin III
10089260	DRESDEFFI14	Commerzbank vormals Dresdner Bank ITGK
10089999	DRESDEFFI99	Commerzbank vormals Dresdner Bank ITGK 2
10090000	BEVODEBBXXX	Berliner Volksbank
10090300	GENODEF1BSB	Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer
10090900	GENODEF1P01	PSD Bank Berlin-Brandenburg -alt-
10110300	MACODEB1XXX	Westend Bank
10110400	IBBBDEBBXXX	Investitionsbank Berlin
10110600	QUBKDEBBXXX	Quirin Privatbank
10120100	WELADED1WBB	Weberbank
10130600	ISBKDEFXXXX	Isbank Fil Berlin
10130800	BIWBDE33XXX	flatexDEGIRO Bank
10220500	BOFSDEB1XXX	Lloyds Bank
10220600	SYBKDE22BER	Sydbank Filiale Berlin
10310600	TRDADEB1PBK	Tradegate Berlin
10310666	TRDADEBBDIR	Tradegate, GF DIR
10320700	MPAYDEB2XXX	MANGOPAY German Branch
11010100	SOBKDEBBXXX	Solaris
11010101	SOBKDEB2XXX	Solaris
11010111	PNTADEBBXXX	Solaris
12016836	KFWIDEFF100	KfW Kreditanstalt für Wiederaufbau
12030000	BYLADEM1001	Deutsche Kreditbank Berlin
12030030	BYLADEM1001	Deutsche Kreditbank (Gf WP)
12030900	MEFIDEMM100	Merck Finck A Quintet Private Bank
12040000	COBADEBB120	Commerzbank Filiale Berlin 2
12050555	NOLADE21DVS	ZVA Norddeutsche Landesbank Gf SA
12060000	GENODEFF120	DZ BANK
12070000	DEUTDEBB160	Deutsche Bank
12070024	DEUTDEDB160	Deutsche Bank
12070070	DEUTDEFFVAC	Deutsche Bank
12070088	DEUTDEDBPAL	Deutsche Bank
12070400	DEUTDEBBP33	Postbank/DSL Ndl der Deutsche Bank
12070424	DEUTDEDBP33	Postbank/DSL Ndl der Deutsche Bank
12080000	DRESDEFF120	Commerzbank vormals Dresdner Bank Filiale Berlin II
12096597	GENODEF1S10	Sparda-Bank Berlin
13000000	MARKDEF1130	Bundesbank
13040000	COBADEFFXXX	Commerzbank
13050000	NOLADE21ROS	Ostseesparkasse Rostock
13051042	NOLADE21RUE	Sparkasse Vorpommern auf Rügen
13061008	GENODEF1WOG	Volksbank Wolgast -alt-
13061078	GENODEF1HWI	Volks- und Raiffeisenbank
13061088	GENODEF1HWR	Raiffeisenbank Wismar -alt-
13061128	GENODEF1DBR	Raiffeisenbank
13070000	DEUTDEBRXXX	Deutsche Bank
13070024	DEUTDEDBROS	Deutsche Bank
13070405	DEUTDEBBP35	Postbank/DSL Ndl der Deutsche Bank
13070424	DEUTDEDBP35	Postbank/DSL Ndl der Deutsche Bank
13080000	DRESDEFF130	Commerzbank vormals Dresdner Bank
13090000	GENODEF1HR1	Rostocker Volks- und Raiffeisenbank -alt-
13091054	GENODEF1HST	Volksbank Vorpommern
13091084	GENODEF1HWV	Volksbank Wismar -alt-
14040000	COBADEFFXXX	Commerzbank
14051000	NOLADE21WIS	Sparkasse Mecklenburg-Nordwest
14051362	NOLADE21PCH	Sparkasse Parchim-Lübz
14051462	NOLADE21SNS	Sparkasse Schwerin -alt-
14052000	NOLADE21LWL	Sparkasse Mecklenburg-Schwerin
14061308	GENODEF1GUE	VR Bank Mecklenburg
14061438	GENODEF1GDB	Raiffeisen-Volksbank -alt-
14080000	DRESDEFF140	Commerzbank vormals Dresdner Bank
14080011	DRESDEFFI27	Commerzbank vormals Dresdner Bank Zw W
14091464	GENODEF1SN1	VR-Bank -alt-
15000000	MARKDEF1150	Bundesbank
15040068	COBADEFFXXX	Commerzbank
15050100	NOLADE21WRN	Müritz-Sparkasse
15050200	NOLADE21NBS	Sparkasse Neubrandenburg-Demmin
15050400	NOLADE21PSW	Sparkasse Uecker-Randow
15050500	NOLADE21GRW	Sparkasse Vorpommern
15051732	NOLADE21MST	Sparkasse Mecklenburg-Strelitz
15061618	GENODEF1WRN	Raiffeisenbank Mecklenburger Seenplatte
15061638	GENODEF1ANK	Volksbank Vorpommern -alt-
15061698	GENODEF1MAL	Raiffeisenbank Malchin -alt-
15080000	DRESDEFF150	Commerzbank vormals Dresdner Bank
15091674	GENODEF1DM1	Volksbank Demmin
15091704	GENODEF1PZ1	VR-Bank Uckermark-Randow
16010300	ILBXDE8XXXX	Investitionsbank des Landes Brandenburg
16020086	HYVEDEMM470	UniCredit Bank - HypoVereinsbank
16040000	COBADEFFXXX	Commerzbank
16050000	WELADED1PMB	Mittelbrandenburgische Sparkasse in Potsdam
16050101	WELADED1PRP	Sparkasse Prignitz
16050202	WELADED1OPR	Sparkasse Ostprignitz-Ruppin
16050500	LBSODEB1XXX	LBS Landesbausparkasse NordOst
16060122	GENODEF1PER	Volks- und Raiffeisenbank Prignitz
16061938	GENODEF1NPP	Raiffeisenbank Ostprignitz-Ruppin
16062008	GENODEF1LUK	VR-Bank Fläming-Elsterland
16062073	GENODEF1BRB	Brandenburger Bank
16080000	DRESDEFF160	Commerzbank vormals Dresdner Bank
16091994	GENODEF1RN1	Volksbank Rathenow
17020086	HYVEDEMM471	UniCredit Bank - HypoVereinsbank
17040000	COBADEFFXXX	Commerzbank
17052000	WELADED1GZE	Sparkasse Barnim
17052302	WELADED1UMX	Stadtsparkasse Schwedt
17054040	WELADED1MOL	Kreissparkasse Märkisch-Oderland
17055050	WELADED1LOS	Sparkasse Oder-Spree
17056060	WELADED1UMP	Sparkasse Uckermark
17062428	GENODEF1BKW	Raiffeisenbank-Volksbank Oder-Spree
17080000	DRESDEFF170	Commerzbank vormals Dresdner Bank
17092404	GENODEF1FW1	VR Bank Fürstenwalde Seelow Wriezen
18020086	HYVEDEMM472	UniCredit Bank - HypoVereinsbank
18040000	COBADEFFXXX	Commerzbank
18050000	WELADED1CBN	Sparkasse Spree-Neiße
18051000	WELADED1EES	Sparkasse Elbe-Elster
18055000	WELADED1OSL	Sparkasse Niederlausitz
18062678	GENODEF1FWA	VR Bank Lausitz
18062758	GENODEF1FOR	VR Bank Forst -alt-
18080000	DRESDEFF180	Commerzbank vormals Dresdner Bank
18092684	GENODEF1LN1	Spreewaldbank
18092744	GENODEF1SPM	Volksbank Spree-Neiße
20000000	MARKDEF1200	Bundesbank
20010020	PBNKDEFFXXX	Postbank Ndl der Deutsche Bank
20010424	AARBDE5W200	Aareal Bank ehem. Filiale Hamburg
20020200	ESSEDEFFHAM	Skandinaviska Enskilda Banken (publ) Hamburg Branch
20020500	JYBADEHHXXX	Jyske Bank Fil Hamburg
20020900	SIBSDEHHXXX	Signal Iduna Bauspar
20030000	HYVEDEMM300	UniCredit Bank - HypoVereinsbank
20030133	VGAGDEHHXXX	Ascory Bank
20030300	CHDBDEHHXXX	DONNER & REUSCHEL
20030301	CHDBDEHHXXX	Donner + Reuschel GF NL LUX
20030400	MCRDDEHHXXX	Marcard, Stein & Co Bankiers
20030600	SYBKDE22HAM	Sydbank Fil Hamburg
20030700	MEFIDEMM200	Merck Finck A Quintet Private Bank
20040000	COBADEHHXXX	Commerzbank
20040005	COBADEHHXXX	Commerzbank, Filiale Hamburg 2
20040020	COBADEFFXXX	Commerzbank, CC SP
20040040	COBADEFFXXX	Commerzbank GF RME
20040048	COBADEFFXXX	Commerzbank GF-H48
20040050	COBADEFFXXX	Commerzbank GF COC
20040060	COBADEFFXXX	Commerzbank Gf 260
20040061	COBADEFFXXX	Commerzbank Gf 261
20040062	COBADEFFXXX	Commerzbank CC
20040063	COBADEFFXXX	Commerzbank CC
20041111	COBADEHDXXX	Commerzbank - GF comdirect
20041133	COBADEHD001	Commerzbank - GF comdirect
20041144	COBADEHD044	Commerzbank - GF comdirect
20041155	COBADEHD055	Commerzbank - GF comdirect
20041166	COBADEHD066	Commerzbank - GF comdirect
20041177	COBADEHD077	Commerzbank - GF comdirect
20041188	COBADEHD088	Commerzbank - GF comdirect
20041199	COBADEHD099	Commerzbank - GF comdirect
20050550	HASPDEHHXXX	Hamburger Sparkasse
20060000	GENODEFF200	DZ BANK
20069111	GENODEF1NDR	Norderstedter Bank -alt-
20069125	GENODEF1KLK	Kaltenkirchener Bank -alt-
20069130	GENODEF1BBR	Raiffeisenbank -alt-
20069144	GENODEF1SST	Raiffeisenbank
20069177	GENODEF1GRS	Raiffeisenbank
20069232	GENODEF1STV	Raiffeisenbank -alt-
20069641	GENODEF1OWS	Raiffeisenbank Owschlag
